                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6981,                0.76257,                0.87317,                0.84118,                0.86442,                0.81085,                0.59448,                0.69537,                 1.2801,                0.87154,              0.0011448,              0.0011448,              0.0011448
                     36,                0.69325,                0.80539,                0.88791,                0.88187,                0.86837,                0.84208,                0.58435,                0.65723,                 1.3599,                0.87929,              0.0011417,              0.0011417,              0.0011417
                     37,                0.68537,                0.81307,                0.90711,                0.88836,                  0.875,                0.83631,                0.57623,                  0.667,                 1.4744,                 0.8767,              0.0011386,              0.0011386,              0.0011386
                     38,                0.75967,                0.76843,                0.93488,                0.85189,                0.87386,                0.83084,                0.54479,                0.74715,                 1.4523,                0.90439,              0.0011355,              0.0011355,              0.0011355
                     39,                0.71423,                 0.7453,                0.92605,                0.89064,                0.86954,                0.84252,                0.58987,                0.67495,                  1.275,                0.89763,              0.0011324,              0.0011324,              0.0011324
                     40,                0.71469,                0.74082,                0.92454,                0.89037,                  0.875,                0.83683,                0.62982,                0.65932,                 1.3822,                0.89733,              0.0011293,              0.0011293,              0.0011293
                     41,                0.69829,                0.68114,                0.89035,                0.88437,                  0.875,                0.81036,                0.60099,                0.75011,                 1.5671,                0.89961,              0.0011263,              0.0011263,              0.0011263
                     42,                0.68951,                 0.7214,                0.91886,                0.86128,                0.86861,                 0.8719,                0.67227,                0.62559,                 1.3509,                 0.8927,              0.0011232,              0.0011232,              0.0011232
                     43,                0.72303,                0.75815,                0.90486,                 0.9211,                 0.8611,                0.87216,                0.62082,                0.71682,                 1.2575,                0.89971,              0.0011201,              0.0011201,              0.0011201
                     44,                0.67144,                0.65615,                0.89792,                0.83932,                0.86579,                0.87105,                  0.616,                0.65412,                 1.2691,                0.88367,               0.001117,               0.001117,               0.001117
                     45,                0.66902,                0.66044,                0.90618,                 0.7851,                 0.8575,                0.86053,                0.62416,                0.66986,                 1.2132,                0.89151,              0.0011139,              0.0011139,              0.0011139
                     46,                 0.7515,                 0.6713,                 0.9204,                0.86835,                0.86813,                0.85312,                0.62974,                0.62431,                 1.3063,                0.87948,              0.0011108,              0.0011108,              0.0011108
                     47,                0.67244,                0.62575,                0.88161,                0.88582,                  0.875,                0.85372,                0.62546,                0.67961,                 1.3619,                0.88167,              0.0011077,              0.0011077,              0.0011077
                     48,                0.67917,                0.66149,                0.88911,                0.85571,                  0.875,                0.86839,                0.60412,                0.74345,                 1.3287,                0.90799,              0.0011046,              0.0011046,              0.0011046
                     49,                0.71008,                0.62134,                0.89929,                0.86383,                0.86465,                0.86163,                0.61112,                0.69457,                 1.3435,                0.89142,              0.0011015,              0.0011015,              0.0011015
                     50,                0.64791,                0.62389,                0.88029,                0.91363,                0.86124,                0.85632,                0.61403,                0.69964,                 1.3663,                0.87592,              0.0010984,              0.0010984,              0.0010984
                     51,                0.69101,                 0.5958,                0.90334,                0.79492,                0.85443,                0.80126,                0.58483,                0.73122,                 1.2779,                0.87663,              0.0010953,              0.0010953,              0.0010953
                     52,                0.66736,                0.58481,                0.91812,                0.92292,                0.87459,                0.83208,                0.63971,                0.78686,                  1.275,                0.93932,              0.0010922,              0.0010922,              0.0010922
                     53,                0.66543,                0.59587,                0.88616,                0.91437,                0.86863,                0.85416,                0.61045,                0.80719,                  1.324,                0.93881,              0.0010891,              0.0010891,              0.0010891
                     54,                0.64306,                 0.5615,                0.90065,                0.91414,                 0.8677,                0.87152,                0.58526,                0.76021,                 1.2655,                0.94411,               0.001086,               0.001086,               0.001086
                     55,                0.66655,                0.59435,                0.90059,                0.92042,                 0.8649,                0.87134,                0.59835,                0.86251,                 1.2132,                0.93173,              0.0010829,              0.0010829,              0.0010829
                     56,                0.72939,                0.61615,                0.93795,                0.86273,                0.86888,                0.86125,                0.57655,                0.71438,                 1.1702,                  0.886,              0.0010798,              0.0010798,              0.0010798
                     57,                0.65955,                 0.5656,                0.90208,                0.88628,                0.87221,                0.83017,                0.61288,                0.72702,                 1.3574,                0.89456,              0.0010768,              0.0010768,              0.0010768
                     58,                0.66445,                0.57039,                0.87582,                0.90818,                  0.875,                0.83003,                0.62762,                0.71711,                  1.233,                0.88844,              0.0010737,              0.0010737,              0.0010737
                     59,                 0.6627,                0.52879,                0.88806,                0.93062,                0.82312,                 0.8652,                0.58631,                0.76331,                 1.3023,                0.90563,              0.0010706,              0.0010706,              0.0010706
                     60,                0.70215,                0.60049,                0.91145,                0.83643,                0.81642,                0.86512,                0.59866,                0.72503,                 1.3417,                0.89738,              0.0010675,              0.0010675,              0.0010675
                     61,                0.63158,                0.55738,                0.89428,                0.92395,                0.84025,                0.87154,                0.60868,                0.63303,                 1.3438,                0.87668,              0.0010644,              0.0010644,              0.0010644
                     62,                0.65025,                 0.5541,                0.91297,                0.97448,                 0.8526,                0.87196,                0.63894,                0.67094,                 1.2992,                0.87884,              0.0010613,              0.0010613,              0.0010613
                     63,                0.60674,                0.53841,                0.90077,                0.84925,                 0.8629,                0.86807,                0.62844,                0.70162,                 1.2833,                0.87456,              0.0010582,              0.0010582,              0.0010582
                     64,                0.61344,                0.51065,                0.88076,                0.86569,                  0.875,                0.86766,                0.60573,                0.70572,                 1.3349,                0.89205,              0.0010551,              0.0010551,              0.0010551
                     65,                0.67336,                0.52129,                0.89597,                0.92373,                0.87349,                0.85743,                0.60774,                0.71748,                 1.3013,                0.89067,               0.001052,               0.001052,               0.001052
                     66,                0.60153,                0.50627,                0.88416,                0.88994,                0.86882,                0.85405,                 0.6429,                0.65725,                 1.2402,                0.89207,              0.0010489,              0.0010489,              0.0010489
                     67,                0.62635,                0.51194,                0.92429,                0.91859,                0.87097,                0.86111,                0.66271,                0.62189,                  1.198,                0.88667,              0.0010458,              0.0010458,              0.0010458
                     68,                0.64377,                0.51597,                0.88605,                 0.9257,                  0.875,                0.86537,                 0.6838,                0.63327,                 1.1687,                0.87235,              0.0010427,              0.0010427,              0.0010427
                     69,                0.60401,                0.50474,                0.87337,                0.86731,                0.87482,                0.87206,                0.65206,                0.63575,                  1.186,                0.88884,              0.0010396,              0.0010396,              0.0010396
                     70,                0.54959,                0.50257,                0.87502,                0.91975,                0.86678,                0.85463,                0.61421,                0.59471,                 1.1945,                0.87888,              0.0010365,              0.0010365,              0.0010365
                     71,                0.59673,                0.50107,                0.87161,                0.90896,                0.86112,                0.85938,                0.63527,                0.60535,                 1.1591,                0.87084,              0.0010334,              0.0010334,              0.0010334
                     72,                0.58388,                0.46593,                0.86928,                0.87991,                 0.8592,                 0.8666,                0.60047,                0.66609,                 1.2068,                0.87244,              0.0010303,              0.0010303,              0.0010303
                     73,                0.59199,                0.47523,                0.89302,                 0.8909,                0.85574,                 0.8091,                0.59554,                0.66081,                 1.3648,                0.86806,              0.0010273,              0.0010273,              0.0010273
                     74,                0.61693,                0.47404,                0.88485,                0.89039,                0.87332,                0.81722,                0.59356,                0.67894,                  1.343,                0.88241,              0.0010242,              0.0010242,              0.0010242
                     75,                 0.5899,                0.46626,                0.87829,                0.88129,                0.87079,                0.80949,                0.61094,                0.64021,                 1.3928,                0.89341,              0.0010211,              0.0010211,              0.0010211
                     76,                0.54826,                0.44272,                0.87374,                0.90909,                  0.875,                0.81005,                0.61054,                0.69337,                 1.3883,                0.92037,               0.001018,               0.001018,               0.001018
                     77,                0.59672,                 0.4584,                0.88375,                0.86242,                0.84592,                0.82131,                0.60402,                0.72102,                 1.2993,                0.91078,              0.0010149,              0.0010149,              0.0010149
                     78,                0.55261,                0.46173,                0.85179,                0.90799,                0.84403,                0.82006,                0.60025,                0.65182,                 1.3805,                0.89212,              0.0010118,              0.0010118,              0.0010118
                     79,                 0.6086,                0.52413,                0.90902,                0.94486,                0.84485,                0.87043,                0.61951,                0.62235,                 1.6002,                0.88359,              0.0010087,              0.0010087,              0.0010087
                     80,                0.58987,                0.45341,                0.84889,                0.91964,                 0.8423,                0.87049,                0.65395,                0.61034,                 1.5097,                0.87595,              0.0010056,              0.0010056,              0.0010056
                     81,                0.57165,                0.48616,                0.89197,                0.95217,                0.83333,                0.86513,                0.63032,                0.63191,                  1.173,                0.85456,              0.0010025,              0.0010025,              0.0010025
                     82,                0.55872,                0.44362,                0.87519,                0.89269,                0.84217,                 0.8098,                0.64367,                0.60101,                 1.4402,                0.87721,             0.00099941,             0.00099941,             0.00099941
                     83,                0.59863,                0.47833,                0.88796,                 0.8623,                  0.868,                0.81001,                0.64225,                0.66203,                 1.3541,                0.88418,             0.00099631,             0.00099631,             0.00099631
                     84,                0.60092,                0.42928,                0.86855,                 0.8964,                0.87324,                0.82006,                0.63296,                0.68901,                 1.3035,                0.88968,             0.00099322,             0.00099322,             0.00099322
                     85,                0.50195,                0.41055,                0.86319,                0.90756,                0.83669,                0.80961,                0.59276,                0.66927,                 1.4327,                0.89062,             0.00099013,             0.00099013,             0.00099013
                     86,                0.54036,                0.43883,                0.86881,                0.73109,                0.82682,                0.76776,                0.55198,                0.67247,                 1.4723,                 0.8826,             0.00098703,             0.00098703,             0.00098703
                     87,                0.52986,                0.40838,                0.83784,                0.86195,                0.87147,                0.80939,                0.58868,                0.65739,                 1.4714,                0.87876,             0.00098394,             0.00098394,             0.00098394
                     88,                0.57037,                0.43587,                0.88865,                0.89269,                0.87151,                0.80994,                0.58734,                 0.6605,                  1.446,                0.88764,             0.00098084,             0.00098084,             0.00098084
                     89,                0.52945,                0.41933,                0.86283,                0.86781,                0.86815,                0.80939,                0.62579,                 0.6633,                 1.5103,                0.87805,             0.00097775,             0.00097775,             0.00097775
                     90,                0.50625,                0.38801,                0.87248,                0.83205,                0.85119,                0.81928,                0.63994,                0.56852,                 1.3725,                0.86761,             0.00097466,             0.00097466,             0.00097466
                     91,                0.55968,                0.41905,                0.86866,                0.90397,                0.81792,                0.87095,                0.66934,                0.59563,                 1.2098,                0.85411,             0.00097156,             0.00097156,             0.00097156
                     92,                0.58421,                0.42205,                0.87293,                0.85683,                0.86344,                0.86517,                0.64747,                 0.6829,                 1.4385,                0.89385,             0.00096847,             0.00096847,             0.00096847
                     93,                0.57937,                0.44588,                0.89107,                0.89416,                0.87263,                0.84021,                0.61962,                0.72337,                 1.3421,                0.90794,             0.00096537,             0.00096537,             0.00096537
                     94,                0.54046,                0.42655,                0.87163,                0.87961,                 0.8699,                0.80903,                0.62234,                0.68523,                 1.3018,                0.89507,             0.00096228,             0.00096228,             0.00096228
                     95,                0.60272,                0.46079,                0.90375,                0.86575,                0.86621,                0.83591,                0.63437,                0.62948,                 1.2193,                0.87251,             0.00095919,             0.00095919,             0.00095919
                     96,                0.55245,                0.41766,                0.89064,                0.86747,                0.86694,                0.87163,                0.70353,                0.59405,                 1.2437,                0.87517,             0.00095609,             0.00095609,             0.00095609
                     97,                0.56388,                0.42703,                0.84355,                0.96848,                0.80226,                0.87224,                0.69053,                0.67301,                 1.2432,                0.88422,               0.000953,               0.000953,               0.000953
                     98,                 0.5176,                0.40817,                0.86278,                  0.911,                0.86477,                0.86706,                0.65937,                0.67034,                 1.3207,                0.88098,             0.00094991,             0.00094991,             0.00094991
                     99,                0.53488,                0.42271,                0.86136,                0.89824,                  0.875,                0.86398,                0.66823,                0.65901,                 1.2942,                0.87445,             0.00094681,             0.00094681,             0.00094681
                    100,                0.56366,                0.44785,                0.87858,                0.85148,                0.86929,                0.81941,                 0.6556,                 0.7006,                 1.4588,                0.87769,             0.00094372,             0.00094372,             0.00094372
                    101,                0.59358,                0.47769,                0.89412,                0.94572,                0.83571,                0.87137,                0.67917,                0.64745,                 1.3217,                0.86164,             0.00094062,             0.00094062,             0.00094062
                    102,                0.58083,                0.44134,                 0.8781,                0.95231,                  0.875,                0.87082,                0.70318,                0.65677,                 1.2455,                0.87509,             0.00093753,             0.00093753,             0.00093753
                    103,                 0.5467,                 0.4313,                0.86607,                0.90601,                0.85659,                0.87066,                0.70479,                0.74835,                 1.1692,                0.91415,             0.00093444,             0.00093444,             0.00093444
                    104,                0.55461,                0.42427,                0.88035,                0.94635,                  0.875,                0.87067,                0.68258,                  0.754,                 1.0297,                0.93671,             0.00093134,             0.00093134,             0.00093134
                    105,                0.53232,                 0.4132,                0.88177,                0.96131,                  0.875,                  0.871,                0.66625,                0.64218,                 1.1711,                0.92211,             0.00092825,             0.00092825,             0.00092825
                    106,                0.53556,                0.42118,                 0.8727,                0.92497,                0.87108,                0.87206,                0.68365,                0.61576,                  1.222,                0.88081,             0.00092516,             0.00092516,             0.00092516
                    107,                0.49183,                0.40096,                0.86411,                0.87084,                0.86853,                0.81047,                 0.6334,                0.63416,                  1.498,                0.87149,             0.00092206,             0.00092206,             0.00092206
                    108,                0.49496,                0.39146,                0.88369,                0.88871,                0.87276,                 0.8118,                0.63493,                0.67525,                 1.4571,                0.87831,             0.00091897,             0.00091897,             0.00091897
                    109,                  0.506,                0.39742,                0.85207,                0.89956,                  0.875,                 0.8118,                0.65358,                0.61385,                 1.3186,                0.85198,             0.00091588,             0.00091588,             0.00091588
                    110,                0.50986,                0.38739,                0.86267,                0.90033,                  0.875,                0.81135,                0.66014,                0.55502,                  1.285,                0.84415,             0.00091278,             0.00091278,             0.00091278
                    111,                0.48256,                0.37549,                0.83712,                0.95836,                0.86594,                 0.8729,                0.69025,                0.55323,                 1.2201,                0.85708,             0.00090969,             0.00090969,             0.00090969
                    112,                0.54698,                0.42543,                0.88249,                0.91953,                0.86644,                0.86725,                0.68226,                0.60952,                 1.0825,                0.87165,             0.00090659,             0.00090659,             0.00090659
                    113,                0.51941,                0.40364,                0.85629,                 0.9601,                0.87043,                0.87236,                0.67284,                0.55153,                  1.135,                0.83959,              0.0009035,              0.0009035,              0.0009035
                    114,                 0.4953,                0.37442,                0.87716,                0.95869,                  0.875,                0.87232,                0.67355,                0.55198,                 1.2916,                0.84426,             0.00090041,             0.00090041,             0.00090041
                    115,                 0.5516,                 0.4168,                0.84997,                0.96538,                  0.875,                0.87327,                0.67679,                0.58808,                 1.2729,                0.86556,             0.00089731,             0.00089731,             0.00089731
                    116,                0.51268,                0.39857,                0.86187,                0.96241,                  0.875,                0.87637,                0.67525,                0.64188,                 1.2171,                0.85015,             0.00089422,             0.00089422,             0.00089422
                    117,                0.46192,                0.37972,                0.84111,                 0.9476,                  0.875,                0.88062,                 0.6811,                0.60922,                 1.2514,                0.83918,             0.00089112,             0.00089112,             0.00089112
                    118,                0.49122,                0.36728,                0.88003,                0.96214,                0.87229,                0.87637,                0.67386,                 0.6239,                 1.1475,                0.84678,             0.00088803,             0.00088803,             0.00088803
                    119,                0.50931,                0.38729,                0.84185,                0.92154,                0.86771,                0.86815,                 0.6517,                0.67622,                 1.1518,                0.84769,             0.00088494,             0.00088494,             0.00088494
                    120,                0.52713,                0.38891,                0.85192,                0.89818,                0.85563,                0.82084,                0.59668,                0.73215,                 1.3893,                0.87504,             0.00088184,             0.00088184,             0.00088184
                    121,                0.53215,                0.41399,                0.87543,                0.89268,                0.86471,                0.81036,                0.64056,                0.66997,                 1.4423,                 0.8752,             0.00087875,             0.00087875,             0.00087875
                    122,                0.47324,                0.37218,                0.83698,                0.89622,                0.87428,                0.81884,                0.64376,                0.60976,                 1.3448,                0.84973,             0.00087566,             0.00087566,             0.00087566
                    123,                0.53759,                0.41004,                0.86749,                0.87533,                 0.8721,                0.81987,                0.64506,                0.59211,                  1.414,                0.86355,             0.00087256,             0.00087256,             0.00087256
                    124,                0.49964,                  0.384,                0.87852,                 0.8422,                0.86819,                0.81985,                0.64474,                0.63597,                 1.2615,                0.85999,             0.00086947,             0.00086947,             0.00086947
                    125,                 0.5398,                0.38492,                0.88235,                0.89212,                  0.875,                0.81126,                 0.6348,                0.65163,                 1.5771,                0.85897,             0.00086637,             0.00086637,             0.00086637
                    126,                0.56477,                0.39187,                0.85532,                0.90058,                  0.875,                0.84643,                0.67629,                0.57271,                 1.3389,                0.85836,             0.00086328,             0.00086328,             0.00086328
                    127,                0.49289,                0.36989,                0.86498,                0.92497,                  0.875,                0.87137,                0.69917,                0.59936,                 1.2329,                0.86878,             0.00086019,             0.00086019,             0.00086019
                    128,                0.53106,                0.39818,                0.86907,                0.88625,                0.86057,                0.87364,                0.68558,                0.63329,                 1.2001,                0.88281,             0.00085709,             0.00085709,             0.00085709
                    129,                0.53753,                0.38497,                0.87726,                0.85891,                0.86952,                 0.8626,                0.68584,                 0.6416,                 1.2329,                0.85779,               0.000854,               0.000854,               0.000854
